id,question,answer,url
89,Могу ли я купить несколько разных билетов на разные тиражи?,"Для лотерей «Русское лото», «Жилищная лотерея», «Золотая подкова», «Бинго-75» и «6 из 36» существует два вида билетов, которые вы можете приобрести в точках продаж: электронные лотерейные билеты — приобретаются с помощью купонов, при использовании которых нужно указывать номер мобильного телефона, и типографские билеты. Цветной купон и черно-белое уведомление о приёме лотерейной ставки и регистрации электронного лотерейного билета с датой и номером тиража, а также всеми теми числами, которые есть в цветном купоне. Важно! Такие билеты вы можете приобрести только на ближайший тираж лотереи. Такой билет является основанием для выплаты выигрыша. Эти билеты интересны тем, что можно сразу купить несколько разных билетов на разные тиражи. Ознакомиться с образцами билетов вы можете на странице любой указанной лотереи в разделе «Правила».",False
90,Где можно ознакомиться с образцами билетов указанных лотерей?,"Для лотерей «Русское лото», «Жилищная лотерея», «Золотая подкова», «Бинго-75» и «6 из 36» существует два вида билетов, которые вы можете приобрести в точках продаж: электронные лотерейные билеты — приобретаются с помощью купонов, при использовании которых нужно указывать номер мобильного телефона, и типографские билеты. Цветной купон и черно-белое уведомление о приёме лотерейной ставки и регистрации электронного лотерейного билета с датой и номером тиража, а также всеми теми числами, которые есть в цветном купоне. Важно! Такие билеты вы можете приобрести только на ближайший тираж лотереи. Такой билет является основанием для выплаты выигрыша. Эти билеты интересны тем, что можно сразу купить несколько разных билетов на разные тиражи. Ознакомиться с образцами билетов вы можете на странице любой указанной лотереи в разделе «Правила».",False
91,Какие бывают типы лотерей?,"Лотереи бывают тиражными и бестиражными (моментальными). Тиражной называется лотерея, в которой розыгрыш призового фонда между всеми участниками проводится единовременно после распространения лотерейных билетов. Проведение такой лотереи может включать в себя отдельные тиражи. Бестиражная (или моментальная) лотерея — это лотерея, в которой информация, позволяющая определить выигрыши, закладывается в лотерейные билеты на стадии их изготовления, а результат розыгрыша становится известным сразу после удаления защитного слоя на билете или после вскрытия билета (если это билет-конверт).",False
92,Что такое тиражные лотереи?,"Лотереи бывают тиражными и бестиражными (моментальными). Тиражной называется лотерея, в которой розыгрыш призового фонда между всеми участниками проводится единовременно после распространения лотерейных билетов. Проведение такой лотереи может включать в себя отдельные тиражи. Бестиражная (или моментальная) лотерея — это лотерея, в которой информация, позволяющая определить выигрыши, закладывается в лотерейные билеты на стадии их изготовления, а результат розыгрыша становится известным сразу после удаления защитного слоя на билете или после вскрытия билета (если это билет-конверт).",False
93,Чем отличаются бестиражные лотереи от тиражных?,"Лотереи бывают тиражными и бестиражными (моментальными). Тиражной называется лотерея, в которой розыгрыш призового фонда между всеми участниками проводится единовременно после распространения лотерейных билетов. Проведение такой лотереи может включать в себя отдельные тиражи. Бестиражная (или моментальная) лотерея — это лотерея, в которой информация, позволяющая определить выигрыши, закладывается в лотерейные билеты на стадии их изготовления, а результат розыгрыша становится известным сразу после удаления защитного слоя на билете или после вскрытия билета (если это билет-конверт).",False
94,Как происходит проведение тиражной лотереи?,"Лотереи бывают тиражными и бестиражными (моментальными). Тиражной называется лотерея, в которой розыгрыш призового фонда между всеми участниками проводится единовременно после распространения лотерейных билетов. Проведение такой лотереи может включать в себя отдельные тиражи. Бестиражная (или моментальная) лотерея — это лотерея, в которой информация, позволяющая определить выигрыши, закладывается в лотерейные билеты на стадии их изготовления, а результат розыгрыша становится известным сразу после удаления защитного слоя на билете или после вскрытия билета (если это билет-конверт).",False
95,Как работают бестиражные (моментальные) лотереи?,"Лотереи бывают тиражными и бестиражными (моментальными). Тиражной называется лотерея, в которой розыгрыш призового фонда между всеми участниками проводится единовременно после распространения лотерейных билетов. Проведение такой лотереи может включать в себя отдельные тиражи. Бестиражная (или моментальная) лотерея — это лотерея, в которой информация, позволяющая определить выигрыши, закладывается в лотерейные билеты на стадии их изготовления, а результат розыгрыша становится известным сразу после удаления защитного слоя на билете или после вскрытия билета (если это билет-конверт).",False
96,Как работает тиражная комиссия в лотерее?,Тиражная комиссия следит за ходом каждого розыгрыша и подтверждает его результаты — подписывает протокол тиражной комиссии и официальную таблицу результатов проведения тиража.,False
97,За что отвечает тиражная комиссия?,Тиражная комиссия следит за ходом каждого розыгрыша и подтверждает его результаты — подписывает протокол тиражной комиссии и официальную таблицу результатов проведения тиража.,False
98,Какие обязанности выполняет тиражная комиссия?,Тиражная комиссия следит за ходом каждого розыгрыша и подтверждает его результаты — подписывает протокол тиражной комиссии и официальную таблицу результатов проведения тиража.,False
99,Что включает в себя работа тиражной комиссии в розыгрыше?,Тиражная комиссия следит за ходом каждого розыгрыша и подтверждает его результаты — подписывает протокол тиражной комиссии и официальную таблицу результатов проведения тиража.,False
100,Как подтверждаются результаты тиража с помощью тиражной комиссии?,Тиражная комиссия следит за ходом каждого розыгрыша и подтверждает его результаты — подписывает протокол тиражной комиссии и официальную таблицу результатов проведения тиража.,False
101,Могут ли участвовать в лотерее иностранные граждане?,"Да, иностранные граждане могут участвовать в лотереях, если они дееспособны и достигли возраста 18 лет. Для участия в лотереях на сайте понадобится SIM-карта с номером российского, белорусского, казахстанского, таджикского, молдавского, узбекского, армянского, азербайджанского и грузинского или украинского операторов связи для возможности завершения регистрации и дальнейшего получения информации.",False
102,Есть ли возрастные ограничения для участия в лотерее иностранных граждан?,"Да, иностранные граждане могут участвовать в лотереях, если они дееспособны и достигли возраста 18 лет. Для участия в лотереях на сайте понадобится SIM-карта с номером российского, белорусского, казахстанского, таджикского, молдавского, узбекского, армянского, азербайджанского и грузинского или украинского операторов связи для возможности завершения регистрации и дальнейшего получения информации.",False
103,Какие требования для участия в лотерее предъявляются к иностранным гражданам?,"Да, иностранные граждане могут участвовать в лотереях, если они дееспособны и достигли возраста 18 лет. Для участия в лотереях на сайте понадобится SIM-карта с номером российского, белорусского, казахстанского, таджикского, молдавского, узбекского, армянского, азербайджанского и грузинского или украинского операторов связи для возможности завершения регистрации и дальнейшего получения информации.",False
104,Какие операторы связи принимаются для участия в лотерее иностранными гражданами?,"Да, иностранные граждане могут участвовать в лотереях, если они дееспособны и достигли возраста 18 лет. Для участия в лотереях на сайте понадобится SIM-карта с номером российского, белорусского, казахстанского, таджикского, молдавского, узбекского, армянского, азербайджанского и грузинского или украинского операторов связи для возможности завершения регистрации и дальнейшего получения информации.",False
105,Могут ли иностранные граждане выиграть в лотерее и получить выигрыш?,"Да, иностранные граждане могут участвовать в лотереях, если они дееспособны и достигли возраста 18 лет. Для участия в лотереях на сайте понадобится SIM-карта с номером российского, белорусского, казахстанского, таджикского, молдавского, узбекского, армянского, азербайджанского и грузинского или украинского операторов связи для возможности завершения регистрации и дальнейшего получения информации.",False
106,Как избежать мошенничества в лотерее?,"Выигрыш в лотерею всегда случаен. С осторожностью относитесь ко всем, кто утверждает обратное и пытается взять у вас за информацию деньги. Подробнее о видах мошенничества и способах обезопасить себя читайте в разделе «Остерегайтесь мошенников».",True
107,Как не стать жертвой мошенников при участии в лотерее?,"Выигрыш в лотерею всегда случаен. С осторожностью относитесь ко всем, кто утверждает обратное и пытается взять у вас за информацию деньги. Подробнее о видах мошенничества и способах обезопасить себя читайте в разделе «Остерегайтесь мошенников».",True
108,"Какие предосторожности нужно принять, чтобы избежать мошенничества с лотерейными билетами?","Выигрыш в лотерею всегда случаен. С осторожностью относитесь ко всем, кто утверждает обратное и пытается взять у вас за информацию деньги. Подробнее о видах мошенничества и способах обезопасить себя читайте в разделе «Остерегайтесь мошенников».",True
109,Как различить настоящие лотереи от мошеннических?,"Выигрыш в лотерею всегда случаен. С осторожностью относитесь ко всем, кто утверждает обратное и пытается взять у вас за информацию деньги. Подробнее о видах мошенничества и способах обезопасить себя читайте в разделе «Остерегайтесь мошенников».",True
110,"Какие шаги предпринять, если стали жертвой мошенничества в лотерее?","Выигрыш в лотерею всегда случаен. С осторожностью относитесь ко всем, кто утверждает обратное и пытается взять у вас за информацию деньги. Подробнее о видах мошенничества и способах обезопасить себя читайте в разделе «Остерегайтесь мошенников».",True
111,Как получить свой выигрыш в лотерее?,"Подробная информация о том, как получить выигрыш, доступна на странице «Как получить выигрыш».",https://www.stoloto.ru/lottery-winning
112,"Что нужно сделать, чтобы забрать свой выигрыш?","Подробная информация о том, как получить выигрыш, доступна на странице «Как получить выигрыш».",https://www.stoloto.ru/lottery-winning
113,Как получить выигрыш после успешного розыгрыша?,"Подробная информация о том, как получить выигрыш, доступна на странице «Как получить выигрыш».",https://www.stoloto.ru/lottery-winning
114,"Какие шаги предпринять, чтобы получить выигрыш по лотерейному билету?","Подробная информация о том, как получить выигрыш, доступна на странице «Как получить выигрыш».",https://www.stoloto.ru/lottery-winning
115,Где найти информацию о процессе получения выигрыша?,"Подробная информация о том, как получить выигрыш, доступна на странице «Как получить выигрыш».",https://www.stoloto.ru/lottery-winning
116,При выигрыше я получаю всю сумму полностью или с вычетом налогов?,"Если выигрыш равен или превышает 15 000 рублей, то налог с такой суммы удерживается при выплате. Если же выигрыш менее 15 000 рублей, то выплачивается вся сумма, а налог нужно оплатить самостоятельно.Согласно законодательству, налог на выигрыш в лотереи для резидентов РФ составляет 13%. Налоговая декларация подается до 30 апреля года, следующего за годом получения выигрыша. Выплата налоговых отчислений осуществляется не позднее 15 июля года, следующего за годом получения выигрыша.",https://www.stoloto.ru/about/tax?int=faq
117,Как определяется размер налога на выигрыш в лотерее?,"Если выигрыш равен или превышает 15 000 рублей, то налог с такой суммы удерживается при выплате. Если же выигрыш менее 15 000 рублей, то выплачивается вся сумма, а налог нужно оплатить самостоятельно.Согласно законодательству, налог на выигрыш в лотереи для резидентов РФ составляет 13%. Налоговая декларация подается до 30 апреля года, следующего за годом получения выигрыша. Выплата налоговых отчислений осуществляется не позднее 15 июля года, следующего за годом получения выигрыша.",https://www.stoloto.ru/about/tax?int=faq
118,Когда и как удерживается налог на выигрыш в лотерее?,"Если выигрыш равен или превышает 15 000 рублей, то налог с такой суммы удерживается при выплате. Если же выигрыш менее 15 000 рублей, то выплачивается вся сумма, а налог нужно оплатить самостоятельно.Согласно законодательству, налог на выигрыш в лотереи для резидентов РФ составляет 13%. Налоговая декларация подается до 30 апреля года, следующего за годом получения выигрыша. Выплата налоговых отчислений осуществляется не позднее 15 июля года, следующего за годом получения выигрыша.",https://www.stoloto.ru/about/tax?int=faq
119,Какой процент составляет налог на выигрыш для резидентов РФ?,"Если выигрыш равен или превышает 15 000 рублей, то налог с такой суммы удерживается при выплате. Если же выигрыш менее 15 000 рублей, то выплачивается вся сумма, а налог нужно оплатить самостоятельно.Согласно законодательству, налог на выигрыш в лотереи для резидентов РФ составляет 13%. Налоговая декларация подается до 30 апреля года, следующего за годом получения выигрыша. Выплата налоговых отчислений осуществляется не позднее 15 июля года, следующего за годом получения выигрыша.",https://www.stoloto.ru/about/tax?int=faq
120,Как оформляется налоговая декларация при получении выигрыша в лотерее?,"Если выигрыш равен или превышает 15 000 рублей, то налог с такой суммы удерживается при выплате. Если же выигрыш менее 15 000 рублей, то выплачивается вся сумма, а налог нужно оплатить самостоятельно.Согласно законодательству, налог на выигрыш в лотереи для резидентов РФ составляет 13%. Налоговая декларация подается до 30 апреля года, следующего за годом получения выигрыша. Выплата налоговых отчислений осуществляется не позднее 15 июля года, следующего за годом получения выигрыша.",https://www.stoloto.ru/about/tax?int=faq
121,"Что делать, если я потерял мобильный телефон с СМС о выигрыше?",Вам нужно как можно скорее дозвониться до вашего оператора сотовой связи и заблокировать эту SIM-карту. После восстановления карты и номера запросите СМС с вашим кодом выигрыша повторно.,False
122,"Как защитить свой выигрыш, если потерян мобильный телефон?",Вам нужно как можно скорее дозвониться до вашего оператора сотовой связи и заблокировать эту SIM-карту. После восстановления карты и номера запросите СМС с вашим кодом выигрыша повторно.,False
123,"Что предпринять, если утерян телефон с сообщением о выигрыше?",Вам нужно как можно скорее дозвониться до вашего оператора сотовой связи и заблокировать эту SIM-карту. После восстановления карты и номера запросите СМС с вашим кодом выигрыша повторно.,False
124,Как восстановить СМС с кодом выигрыша после потери телефона?,Вам нужно как можно скорее дозвониться до вашего оператора сотовой связи и заблокировать эту SIM-карту. После восстановления карты и номера запросите СМС с вашим кодом выигрыша повторно.,False
125,Как заблокировать SIM-карту при потере мобильного телефона?,Вам нужно как можно скорее дозвониться до вашего оператора сотовой связи и заблокировать эту SIM-карту. После восстановления карты и номера запросите СМС с вашим кодом выигрыша повторно.,False
126,Могу ли я получить выигрыш без предъявления выигрышного билета?,"Если выигрышным оказался типографский лотерейный билет, то для получения выигрыша необходимо предъявить выигрышный билет и документ, удостоверяющий личность. Если выигрышным оказался электронный лотерейный билет, то достаточно предоставить информацию о нем (номер телефона, уникальный ключ и код выигрыша) или распечатку уведомления из личного кабинета и код выигрыша.",False
127,"Как получить выигрыш, если утерян выигрышный билет?","Если выигрышным оказался типографский лотерейный билет, то для получения выигрыша необходимо предъявить выигрышный билет и документ, удостоверяющий личность. Если выигрышным оказался электронный лотерейный билет, то достаточно предоставить информацию о нем (номер телефона, уникальный ключ и код выигрыша) или распечатку уведомления из личного кабинета и код выигрыша.",False
128,"Что делать, если потерял бумажный лотерейный билет с выигрышем?","Если выигрышным оказался типографский лотерейный билет, то для получения выигрыша необходимо предъявить выигрышный билет и документ, удостоверяющий личность. Если выигрышным оказался электронный лотерейный билет, то достаточно предоставить информацию о нем (номер телефона, уникальный ключ и код выигрыша) или распечатку уведомления из личного кабинета и код выигрыша.",False
129,Какие документы нужны для получения выигрыша от типографского лотерейного билета?,"Если выигрышным оказался типографский лотерейный билет, то для получения выигрыша необходимо предъявить выигрышный билет и документ, удостоверяющий личность. Если выигрышным оказался электронный лотерейный билет, то достаточно предоставить информацию о нем (номер телефона, уникальный ключ и код выигрыша) или распечатку уведомления из личного кабинета и код выигрыша.",False
130,Какие данные нужны для получения выигрыша от электронного лотерейного билета?,"Если выигрышным оказался типографский лотерейный билет, то для получения выигрыша необходимо предъявить выигрышный билет и документ, удостоверяющий личность. Если выигрышным оказался электронный лотерейный билет, то достаточно предоставить информацию о нем (номер телефона, уникальный ключ и код выигрыша) или распечатку уведомления из личного кабинета и код выигрыша.",False
131,Какие выигрыши можно получить в лотерейном центре?,"Вы можете получить выигрыши тиражных лотерей: «Спортлото «5 из 36», «Спортлото «6 из 45», «Спортлото «7 из 49», «Спортлото «4 из 20», «Большое Спортлото», «Охота», «КЕНО», «Рапидо», «Рапидо 2.0», «Всё или ничего», «Топ-3», «Рокетбинго», «Русское лото», «Жилищная лотерея», «Золотая подкова», «Проще, чем дважды два», «Забава от Русского лото», а также бестиражных лотерей.",False
132,Что можно выиграть в тиражных лотереях в лотерейном центре?,"Вы можете получить выигрыши тиражных лотерей: «Спортлото «5 из 36», «Спортлото «6 из 45», «Спортлото «7 из 49», «Спортлото «4 из 20», «Большое Спортлото», «Охота», «КЕНО», «Рапидо», «Рапидо 2.0», «Всё или ничего», «Топ-3», «Рокетбинго», «Русское лото», «Жилищная лотерея», «Золотая подкова», «Проще, чем дважды два», «Забава от Русского лото», а также бестиражных лотерей.",False
133,Какие лотереи предоставляют возможность получить выигрыш в лотерейном центре?,"Вы можете получить выигрыши тиражных лотерей: «Спортлото «5 из 36», «Спортлото «6 из 45», «Спортлото «7 из 49», «Спортлото «4 из 20», «Большое Спортлото», «Охота», «КЕНО», «Рапидо», «Рапидо 2.0», «Всё или ничего», «Топ-3», «Рокетбинго», «Русское лото», «Жилищная лотерея», «Золотая подкова», «Проще, чем дважды два», «Забава от Русского лото», а также бестиражных лотерей.",False
134,Список каких лотерей включает в себя возможность получения выигрыша в лотерейном центре?,"Вы можете получить выигрыши тиражных лотерей: «Спортлото «5 из 36», «Спортлото «6 из 45», «Спортлото «7 из 49», «Спортлото «4 из 20», «Большое Спортлото», «Охота», «КЕНО», «Рапидо», «Рапидо 2.0», «Всё или ничего», «Топ-3», «Рокетбинго», «Русское лото», «Жилищная лотерея», «Золотая подкова», «Проще, чем дважды два», «Забава от Русского лото», а также бестиражных лотерей.",False
135,Какие тиражные и бестиражные лотереи представлены в лотерейном центре?,"Вы можете получить выигрыши тиражных лотерей: «Спортлото «5 из 36», «Спортлото «6 из 45», «Спортлото «7 из 49», «Спортлото «4 из 20», «Большое Спортлото», «Охота», «КЕНО», «Рапидо», «Рапидо 2.0», «Всё или ничего», «Топ-3», «Рокетбинго», «Русское лото», «Жилищная лотерея», «Золотая подкова», «Проще, чем дважды два», «Забава от Русского лото», а также бестиражных лотерей.",False
136,Как играть в забаву,Правила лотереи «Забава от Русского лото» https://www.stoloto.ru/zabava/rules?int=faq,False
137,правила Забавы,Правила лотереи «Забава от Русского лото» https://www.stoloto.ru/zabava/rules?int=faq,False
138,как играть выиграть в забаву,Правила лотереи «Забава от Русского лото» https://www.stoloto.ru/zabava/rules?int=faq,False
139,сколько стоит лотерея забава,Правила лотереи «Забава от Русского лото» https://www.stoloto.ru/zabava/rules?int=faq,False
140,цена билета забавы русского лото,Правила лотереи «Забава от Русского лото» https://www.stoloto.ru/zabava/rules?int=faq,False
